country_code,region_name,iata,icao,airport,latitude,longitude
CA,Ontario,YYB,CYYB,North Bay/Jack Garland Airport,46.363602,-79.422798
CA,British Columbia,ZAA,,Alice Arm/Silver City Water Aerodrome,55.46670151,-129.4830017
CA,Ontario,YXZ,CYXZ,Wawa Airport,47.96670151,-84.78669739
CA,Manitoba,XGL,,Granville Lake Airport,56.3,-100.5
CA,Manitoba,ZAC,CZAC,York Landing Airport,56.08940125,-96.08920288
CA,Yukon,YXY,CYXY,Erik Nielsen Whitehorse International Airport,60.70959854,-135.0670013
CA,Quebec,YGP,CYGP,Michel-Pouliot Gaspe Airport,48.77529907,-64.47859955
CA,British Columbia,YXX,CYXX,Abbotsford International Airport,49.02529907,-122.3610001
CA,Ontario,YXU,CYXU,London International Airport,43.035599,-81.1539
CA,Manitoba,YGO,CYGO,Gods Lake Narrows Airport,54.55889893,-94.49140167
CA,British Columbia,YXT,CYXT,Northwest Regional Airport,54.468498,-128.576009
CA,British Columbia,YGN,,Greenway Sound Water Aerodrome,50.839,-126.775
CA,Manitoba,YGM,CYGM,Gimli Industrial Park Airport,50.62810135,-97.04329681
CA,Quebec,YGL,CYGL,La Grande Riviere Airport,53.62530136,-77.70420074
CA,Ontario,YGK,CYGK,Kingston/Norman Rogers Airport,44.22529984,-76.59690094
CA,British Columbia,YXS,CYXS,Prince George Airport,53.88940048,-122.6790009
CA,Quebec,XGR,CYLU,Kangiqsualujjuaq (Georges River) Airport,58.71139908,-65.99279785
CA,Ontario,YXR,CYXR,Earlton (Timiskaming Regional) Airport,47.69740065,-79.84734535
CA,Yukon,YXQ,CYXQ,Beaver Creek Airport,62.41030121,-140.8670044
CA,Nunavut,YXP,CYXP,Pangnirtung Airport,66.14499664,-65.71360016
CA,British Columbia,QBC,CYBD,Bella Coola Airport,52.387501,-126.596001
CA,Northwest Territories,YGH,CYGH,Fort Good Hope Airport,66.24079895,-128.651001
CA,New Brunswick,ZBF,CZBF,Bathurst Airport,47.62969971,-65.73889923
CA,Quebec,ZBM,CZBM,Roland-Desourdy Airport,45.29079819,-72.74140167
CA,Nunavut,YXN,CYXN,Whale Cove Airport,62.24000168,-92.59809875
CA,British Columbia,YGG,,Ganges Water Aerodrome,48.8545,-123.4969
CA,Ontario,YXL,CYXL,Sioux Lookout Airport,50.11389923,-91.90529633
CA,Quebec,YXK,CYXK,Rimouski Airport,48.47809982,-68.49690247
CA,British Columbia,ZEL,CBBC,Bella Bella (Campbell Island) Airport,52.185001,-128.156994
CA,British Columbia,YXJ,CYXJ,Fort St. John Airport (North Peace Airport),56.238098,-120.739998
CA,Alberta,YXH,CYXH,Medicine Hat Airport,50.01890182,-110.7210007
CA,Saskatchewan,YXE,CYXE,Saskatoon John G. Diefenbaker International Airport,52.17079926,-106.6999969
CA,Alberta,YXD,CYXD,Edmonton City Centre (Blatchford Field) Airport,53.57249832,-113.5210037
CA,British Columbia,YXC,CYXC,Cranbrook/Canadian Rockies International Airport,49.6108017,-115.7819977
CA,British Columbia,YGE,,Gorge Harbour Water Aerodrome,50.0994,-125.0235
CA,Quebec,ZEM,CZEM,Eastmain River Airport,52.22639847,-78.52249908
CA,Northwest Territories,YWY,CYWY,Wrigley Airport,63.20940018,-123.4369965
CA,British Columbia,YZT,CYZT,Port Hardy Airport,50.68059921,-127.3669968
CA,British Columbia,YWS,,Whistler/Green Lake Water Aerodrome,50.14360046,-122.9489975
CA,Ontario,YWR,,White River Water Aerodrome,48.6269,-85.223297
CA,Yukon,ZFA,CZFA,Faro Airport,62.20750046,-133.3760071
CA,Saskatchewan,ZFD,CZFD,Fond-du-Lac Airport,59.33440018,-107.1819992
CA,Quebec,YWQ,,Chutes-des-Passes/Lac Margane Water Aerodrome,49.9434,-71.138
CA,Northwest Territories,ZFM,CZFM,Fort McPherson Airport,67.40750122,-134.8609924
CA,Northwest Territories,ZFN,CZFN,Tulita Airport,64.909697,-125.572998
CA,Ontario,YWP,CYWP,Webequie Airport,52.9593934,-87.37486839
CA,Newfoundland and Labrador,YWM,,Williams Harbour Airport,52.56689835,-55.78469849
CA,Alberta,YGC,,Grande Cache Airport,53.91690063,-118.8740005
CA,British Columbia,YWL,CYWL,Williams Lake Airport,52.18310165,-122.0540009
CA,British Columbia,YGB,CYGB,Texada/Gillies Bay Airport,49.69419861,-124.5179977
CA,Alberta,ZFW,,Fairview Airport,56.08140183,-118.4349976
CA,Ontario,KIF,,Kingfisher Lake Airport,53.01250076,-89.8553009
CA,Newfoundland and Labrador,YFX,,St. Lewis (Fox Harbour) Airport,52.37279892,-55.6739006
CA,Northwest Territories,YFS,CYFS,Fort Simpson Airport,61.7602005,-121.2369995
CA,Newfoundland and Labrador,YWK,CYWK,Wabush Airport,52.9219017,-66.86440277
CA,British Columbia,ZGF,CZGF,Grand Forks Airport,49.0155983,-118.4309998
CA,Northwest Territories,YWJ,CYWJ,Deline Airport,65.21109772,-123.435997
CA,British Columbia,YWH,CYWH,Victoria Harbour Water Airport,48.42498589,-123.3888674
CA,Manitoba,ZGI,CZGI,Gods River Airport,54.83969879,-94.07859802
CA,Northwest Territories,YFR,CYFR,Fort Resolution Airport,61.18080139,-113.6900024
CA,Manitoba,ZGR,CZGR,Little Grand Rapids Airport,52.04560089,-95.46579742
CA,Manitoba,YWG,CYWG,Winnipeg James Armstrong Richardson International Airport,49.90999985,-97.23989868
CA,Quebec,YWB,CYKG,Kangiqsujuaq (Wakeham Bay) Airport,61.58860016,-71.92939758
CA,Quebec,ZGS,,La Romaine Airport,50.259701,-60.679401
CA,Ontario,YWA,CYWA,Petawawa Airport,45.95220184,-77.31919861
CA,Manitoba,YFO,CYFO,Flin Flon Airport,54.67810059,-101.6819992
CA,Ontario,XKS,CYAQ,Kasabonika Airport,53.52470016,-88.64279938
CA,Northwest Territories,YFL,,Fort Reliance Water Aerodrome (CJN8),62.7,-109.167
CA,Northwest Territories,YFJ,CYWE,Wekweeti Airport,64.190804,-114.077002
CA,Ontario,YVZ,CYVZ,Deer Lake Airport,52.65579987,-94.06140137
CA,Ontario,YVV,CYVV,Wiarton Airport,44.7458,-81.107201
CA,Saskatchewan,YVT,CYVT,Buffalo Narrows Airport,55.84189987,-108.4179993
CA,Alberta,YFI,,Fort MacKay/Firebag Aerodrome,57.275833,-110.976666
CA,Manitoba,XLB,CZWH,Lac Brochet Airport,58.61750031,-101.4690018
CA,Ontario,YFH,CYFH,Fort Hope Airport,51.56190109,-87.90779877
